lead_id,company_name,vertical,website,primary_phone,primary_email,address_line1,address_line2,city,region,postal_code,country,latitude,longitude,rating,review_count,employee_range,revenue_range,founded_year,tech_signals,tags,lead_score,score_explanations,created_at,updated_at
a4e7a34a-2ad7-4191-8634-dba31e3adb33,Premier General Contractors Inc.,local_services,http://premiergeneralcontractorsinc.com/,+1 918-625-0806,,,,,,,,35.9833813,-95.87893670000001,5,29,,,,,painter;general_contractor;point_of_interest;home_goods_store;store;establishment,60,High rating: 5;Good review count: 29;Has website;Has phone number;Has location data,2025-09-29T00:50:10.059Z,2025-09-29T00:50:10.060Z
fb2a7ef8-4ae2-4dd3-adcf-26d59a537cbd,TCP Commercial Contractors,local_services,,+1 918-552-5634,,,,,,,,36.1603161,-95.9865938,4.3,33,,,,,general_contractor;roofing_contractor;point_of_interest;home_goods_store;store;establishment,50,High rating: 4.3;Good review count: 33;Has phone number;Has location data,2025-09-29T00:50:10.059Z,2025-09-29T00:50:10.060Z
5e26a770-ee82-4cbb-9fbe-f0c40fb9e28b,Joel Coggins Construction,local_services,https://joelcoggins.construction/,+1 918-688-0072,,,,,,,,36.0546444,-95.80443199999999,4.7,23,,,,,general_contractor;point_of_interest;establishment,60,High rating: 4.7;Good review count: 23;Has website;Has phone number;Has location data,2025-09-29T00:50:10.059Z,2025-09-29T00:50:10.060Z
529de6e9-0eb1-411c-8766-67a3482e8037,Black Rock Construction Management LLC,local_services,https://blackrockbuild.com/,+1 918-271-5071,,,,,,,,36.0769934,-95.8495162,4.5,8,,,,,general_contractor;point_of_interest;establishment,45,High rating: 4.5;Has website;Has phone number;Has location data,2025-09-29T00:50:10.059Z,2025-09-29T00:50:10.060Z
1b1961f4-672b-4b34-b94a-b3f7d8b8f803,West Construction,local_services,http://www.westcousa.com/,+1 918-627-3326,,,,,,,,36.1421371,-95.9591784,4.9,7,,,,,general_contractor;point_of_interest;establishment,45,High rating: 4.9;Has website;Has phone number;Has location data,2025-09-29T00:50:10.059Z,2025-09-29T00:50:10.060Z
9d17b313-5da2-4f6e-a943-567684f24b90,Impact Construction and Roofing,local_services,https://www.impactconstructionok.com/,+1 918-576-3292,,,,,,,,36.0974407,-95.8667931,5,1,,,,,roofing_contractor;general_contractor;point_of_interest;establishment,45,High rating: 5;Has website;Has phone number;Has location data,2025-09-29T00:50:10.059Z,2025-09-29T00:50:10.060Z
b3e379fd-91b7-4f8f-ab70-3d47dd34c0c1,"Arrow Construction Resources, LLC",local_services,http://www.arrowcr.net/,+1 918-346-6900,,,,,,,,36.1746961,-95.84709570000001,5,2,,,,,general_contractor;point_of_interest;establishment,45,High rating: 5;Has website;Has phone number;Has location data,2025-09-29T00:50:10.059Z,2025-09-29T00:50:10.060Z
c6fe893c-1f6e-4913-a48e-e5dfc69ba97a,Red Dog Construction,local_services,http://www.reddogconstruction.com/,+1 918-706-5674,,,,,,,,36.0219984,-95.9695776,4.6,18,,,,,general_contractor;point_of_interest;establishment,60,High rating: 4.6;Good review count: 18;Has website;Has phone number;Has location data,2025-09-29T00:50:10.059Z,2025-09-29T00:50:10.060Z
90f8b877-202b-49ef-ab44-4e68833cc504,Sean Cooper Construction,local_services,http://www.seanucooper.com/,,,,,,,,,36.1496336,-96.02833009999999,5,23,,,,,general_contractor;point_of_interest;home_goods_store;store;establishment,50,High rating: 5;Good review count: 23;Has website;Has location data,2025-09-29T00:50:10.059Z,2025-09-29T00:50:10.060Z
0a57fd59-3d40-4516-893b-4afbacdf67c8,Thompson Construction Inc.,local_services,http://www.tciok.com/,+1 918-496-1000,,,,,,,,36.0437187,-95.86693559999999,4.1,17,,,,,general_contractor;point_of_interest;establishment,60,High rating: 4.1;Good review count: 17;Has website;Has phone number;Has location data,2025-09-29T00:50:10.060Z,2025-09-29T00:50:10.060Z
505fd40d-9b34-47fd-9fba-f55bcf6a8544,Diversified Construction & Remodeling,local_services,https://www.dcroklahoma.com/,+1 918-855-7597,,,,,,,,36.09504039999999,-95.86083169999999,5,71,,,,,general_contractor;point_of_interest;establishment,60,High rating: 5;Good review count: 71;Has website;Has phone number;Has location data,2025-09-29T00:50:10.060Z,2025-09-29T00:50:10.060Z
