lead_id,company_name,vertical,website,primary_phone,primary_email,address_line1,address_line2,city,region,postal_code,country,latitude,longitude,rating,review_count,employee_range,revenue_range,founded_year,tech_signals,tags,lead_score,score_explanations,created_at,updated_at
34d309a5-31e7-4380-a046-7865acb10ec3,Law Offices of Jeff Martin,local_services,https://www.jeffmartinlaw.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google-local,+1 918-728-8888,,,,,,,,36.1357809,-95.98664199999999,4.7,749,,,,,lawyer;point_of_interest;establishment,60,High rating: 4.7;Good review count: 749;Has website;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
942f39a5-a78c-47a0-ad57-fe926e839323,Norwood.Law,local_services,https://www.norwoodlegal.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 918-582-6464,,,,,,,,36.1395118,-95.9870274,4.7,35,,,,,lawyer;point_of_interest;establishment,60,High rating: 4.7;Good review count: 35;Has website;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
51d935de-a6b1-434a-8751-689f134078e7,Kania Law Office,local_services,http://www.kanialaw.com/,+1 918-743-2233,,,,,,,,36.0855538,-95.95737299999999,4.1,213,,,,,lawyer;point_of_interest;establishment,60,High rating: 4.1;Good review count: 213;Has website;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
d876aed2-b264-4957-add0-d436a3c95d8a,Biby Law Firm Injury and Accident Lawyers,local_services,https://www.bibylaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-denver,+1 918-248-9159,,,,,,,,36.1016654,-95.86651769999999,5,114,,,,,lawyer;point_of_interest;establishment,60,High rating: 5;Good review count: 114;Has website;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
7df4e43e-6c16-4f33-a685-1a1fa19d740a,McCormick Law Firm,local_services,https://www.theinjuryattorney.law/office_locations/tulsa-oklahomas-injury-lawyer/,+1 918-900-9999,,,,,,,,36.1408916,-95.9632319,4.5,62,,,,,lawyer;point_of_interest;establishment,60,High rating: 4.5;Good review count: 62;Has website;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
661cbc48-9329-4868-89ef-71eeca12b544,Biby Law Firm injury and Accident Lawyers,local_services,https://www.bibylaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-120th,+1 918-731-2455,,,,,,,,35.988785,-95.9056859,5,118,,,,,lawyer;point_of_interest;establishment,60,High rating: 5;Good review count: 118;Has website;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
898deb88-480e-45e8-b67f-0aeac90ba345,Jack Zanerhaft Law Offices,local_services,,+1 918-760-7287,,,,,,,,36.150878,-95.989295,5,3,,,,,lawyer;point_of_interest;establishment,35,High rating: 5;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
de029ab9-b938-4d56-abe5-d373c3bf5706,"Hunter Law Office, PLLC",local_services,,+1 918-279-0041,,,,,,,,35.9494651,-95.6503074,5,3,,,,,point_of_interest;establishment,35,High rating: 5;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
8d11125a-5e26-4363-9884-21214f018ad4,Legal Aid Services of Oklahoma,local_services,http://www.legalaidok.org/,+1 918-584-3338,,,,,,,,36.1486688,-95.9841802,3.7,268,,,,,lawyer;point_of_interest;establishment,40,Good review count: 268;Has website;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
77de79c7-fb6c-47b7-9a5d-af7869ea6adf,RC Law Group,local_services,http://www.rclawgroupok.com/,+1 918-978-7927,,,,,,,,36.1356499,-95.9862933,5,89,,,,,lawyer;point_of_interest;establishment,60,High rating: 5;Good review count: 89;Has website;Has phone number;Has location data,2025-09-29T00:49:49.882Z,2025-09-29T00:49:49.885Z
ffe4c12f-79c8-4e47-83c6-963f61677b7c,"Justice First Legal, PLLC",local_services,https://www.justicefirstattorneys.com/,+1 918-549-6750,,,,,,,,36.0894254,-95.9342425,4.8,9,,,,,lawyer;point_of_interest;establishment,45,High rating: 4.8;Has website;Has phone number;Has location data,2025-09-29T00:49:49.883Z,2025-09-29T00:49:49.885Z
